tipo_servico,canal_atendimento,faixa_etaria,tempo_espera,qualidade_percebida,preco_pago,atendimento_resolutivo,nps,tempo_resposta,isc
Intermediário,Telefone,26-35,"3,736380587","8,43922999","69,5023164",Sim,"9,147720663","2,423579217","61,65699228"
Básico,Presencial,51+,"10,00197234",10,"76,85151946",Sim,"4,317293738","2,990571694","48,98127783"
Básico,Telefone,36-50,"14,64158742","6,327451315","46,39094692",Sim,"7,118762214","2,183402259","42,71407099"
Premium,Telefone,36-50,"15,15167926","8,58274626","72,33233854",Não,"7,484347946","3,481049146","48,68741733"
Premium,E-mail,18-25,"15,16017515","5,226670323","40,13601188",Sim,"7,978081278","2,735962641","48,49573957"
Intermediário,Telefone,36-50,"8,959587866","6,873336265","49,91168735",Sim,"6,264147692","2,769777441","46,77891258"
Básico,Chat,26-35,"10,28910102","5,188087435","40,34395624",Sim,"6,817282067","4,40370557","51,27551028"
Premium,Chat,51+,"12,2940339","8,92733925","67,14168804",Sim,"4,549920818","4,479103423","55,6010921"
Básico,Telefone,26-35,"14,05250168","6,317355876","40,59606923",Sim,"8,380998775","2,301255035","38,86958868"
Básico,E-mail,18-25,"4,985970979","6,334632652","55,64283889",Sim,"5,320722233","3,860911662","49,36239876"
Premium,Telefone,36-50,"11,91224331","6,447134162","51,09155531",Não,"4,450432089","3,490106712","41,40810661"
Básico,Chat,36-50,"12,89730919","8,72682578","63,22059119",Sim,"5,765767221","3,740470852","54,71771369"
Básico,E-mail,18-25,"16,08723764","3,972319695","28,78631015",Não,"4,985054192","3,62904053","22,38555723"
Básico,Telefone,36-50,"8,320801594","8,162937335","69,51397484",Sim,"8,658657735","2,405170442","56,49002771"
Intermediário,Telefone,26-35,"17,27380298","5,659700109","44,07818501",Sim,"5,210151654","3,002091554","34,81597251"
Premium,Chat,26-35,"7,019249382","6,673285222","63,97048208",Sim,10,"2,343791665","58,01134687"
Intermediário,Chat,26-35,"8,422858732","6,700332874","52,74487767",Não,"6,166376086","2,694287288","49,46129505"
Intermediário,E-mail,18-25,"17,17787015","8,694609065","73,61669889",Sim,"8,353922791","2,496334958","53,64402727"
Intermediário,Chat,51+,"11,81196875","6,593994869","59,31196262",Sim,"5,363696504","2,84937004","48,4103172"
Premium,E-mail,36-50,"7,501948213","8,390634036","50,87631655",Sim,"6,950180161","3,800940558","51,6964882"
Premium,Chat,18-25,"8,636231584","6,772902449","58,94642695",Sim,"8,763971811","1,813282152","57,00156045"
Básico,Presencial,18-25,"10,21112656","6,926406568","50,16555302",Sim,"9,260963071","3,430636364","43,12923061"
Básico,Presencial,18-25,"10,01739724","6,1527043","44,90669607",Sim,"6,034393172","3,216747094","45,42282923"
Premium,Presencial,18-25,"7,109444389","7,736527774","62,96323677",Sim,"3,298713345","3,961292346","50,16112794"
Básico,Telefone,18-25,"14,98147794","8,262901514","71,40708924",Não,"5,903261646","1,44343569","45,73152598"
Básico,Telefone,26-35,"13,30181606","7,148009157","48,45429972",Sim,"5,948751833","3,544843926","43,00918707"
Básico,Telefone,36-50,"4,698197045","6,68573229","59,35327099",Não,"6,439348854","3,327768822","51,68896894"
Básico,Chat,51+,"9,497560994","5,567671338","37,74728973",Não,"8,678692041","2,511190767","48,15367099"
Intermediário,Telefone,18-25,"6,198438782","4,156359039","27,53180981",Sim,"4,48915648","3,124061213","42,77012249"
Intermediário,Presencial,51+,"6,800801037","6,47819754","57,3345205",Sim,"3,23492749","2,62606188","53,48134383"
Premium,E-mail,26-35,"10,83407924","5,232584433","39,05869736",Sim,"8,04708489","4,669646748","44,63098688"
Premium,Chat,26-35,"7,30023032","8,704686016","73,5742867",Sim,"6,443583355","3,304418251","61,22092925"
Básico,Presencial,51+,"6,890517118","5,07972083","45,56558211",Sim,"7,21252218","2,870338749","50,23011604"
Básico,E-mail,18-25,"8,238859892","8,846153506","76,38715741",Sim,"3,846013767","2,938594395","52,14205141"
Intermediário,Presencial,18-25,"16,80521224","8,506110975","66,40750552",Sim,"5,090925008","2,395816294","53,30748811"
Básico,E-mail,36-50,"17,97302046","6,05741574","50,24619635",Não,"6,059562947","3,269262248","29,7536373"
Básico,Chat,18-25,"12,53215642","4,745609706","37,98847448",Sim,10,"2,031416867","41,6652588"
Intermediário,E-mail,18-25,"7,626443556","6,118161486","52,93179421",Sim,"9,960949899","3,190657518","49,91027268"
Intermediário,Presencial,51+,"7,018791854","8,594018073","68,00768715",Sim,"6,571627098","1,134026739","65,59261139"
Intermediário,E-mail,51+,"8,400208199","6,680961224","63,13203273",Não,"8,629859844","2,708858119","53,01022997"
Intermediário,E-mail,36-50,"6,67796377","5,401336846","51,36731577",Sim,"5,364436604","4,105309777","54,80231571"
Básico,E-mail,18-25,"12,41352814","5,180257571","47,27549987",Sim,"5,745117497","2,591651189","48,68657692"
Básico,Chat,18-25,"8,243344418","8,899439835","77,3579388",Sim,"6,321611447","3,66964531","53,34947206"
Intermediário,Chat,51+,0,"8,01354084","75,57789352",Não,"3,665414936","5,065289238","54,96931827"
Intermediário,E-mail,36-50,"5,267501949","7,520301943","61,84238385",Não,"6,485366516","4,026631089","51,93018342"
Intermediário,Presencial,26-35,"17,89916518","7,883710137","60,31523218",Sim,"6,965782154","3,638331846","47,98148565"
Intermediário,Telefone,26-35,"14,7838831","9,620849288","70,16413143",Sim,"4,262239447","3,779955035","35,21533179"
Básico,Chat,26-35,"10,0528992","6,872313849","58,33631896",Sim,"3,559639785","1,634660481","53,73406116"
Intermediário,Chat,36-50,"9,953968336","7,677616819","60,57338764",Sim,10,"2,080364418","52,06814381"
Premium,Chat,36-50,"10,06783464","7,582459684","61,28533607",Sim,"5,546920334","5,038493869","49,14267729"
Intermediário,Presencial,18-25,"10,47946871","7,053137031","58,26240133",Sim,"7,402626009","2,473171191","53,42297821"
Básico,Telefone,36-50,"10,38381982","6,632986141","48,48069116",Não,"5,465181743","4,142080135","41,58293078"
Básico,Telefone,26-35,"7,266358395","6,667549863","55,74881522",Sim,"9,598850045","3,485492825","57,2627976"
Intermediário,Telefone,36-50,"4,922124778","6,880573328","54,10009475",Não,"5,748052067","1,702428626","52,73756906"
Básico,Telefone,18-25,"4,789701542","6,627959771","58,09360367",Não,"7,428836973","3,732456439","54,35265901"
Intermediário,Chat,18-25,"5,758108071","5,722665044","47,07392619",Sim,"7,998556305","2,478984163","54,72729103"
Intermediário,Chat,26-35,"9,14521396","7,802090349","60,86109551",Sim,"5,426803332","2,553971377","53,7390226"
Básico,Presencial,26-35,"10,86605088","7,692697357","61,85071551",Sim,"5,232233703","2,444594155","50,07638743"
Premium,Chat,26-35,"12,96228126","6,030716409","54,27065861",Sim,"8,630794496","4,01351021","47,67907472"
Intermediário,Chat,26-35,"12,98830523","6,152001247","46,79573037",Sim,"9,145416887","3,760511005","43,33652305"
Básico,E-mail,26-35,"11,34477649","7,538182777","63,30952688",Sim,"6,936601247","3,515606076","49,26638388"
Intermediário,Chat,26-35,"12,0377833","8,015084304","60,91845427",Sim,"3,984830553","3,70377235","41,63816891"
Intermediário,Chat,51+,"7,674630113","8,677022171","81,37307407",Sim,"8,150529428","1,129419682","64,84075932"
Intermediário,Telefone,18-25,"9,242731385","8,344236558","72,57487603",Sim,"5,005639203","2,957377528","56,67778903"
Premium,E-mail,36-50,"9,286527721","9,770916655","76,82874924",Sim,"6,171878729","2,419666239","59,34246163"
